Timestamp,PlateNumber,ImagePath
2025-09-21 00:34:23,DLA90,data/detected_plates\DLA90_20250921003423.jpg
2025-09-21 00:34:24,DLAF90,data/detected_plates\DLAF90_20250921003424.jpg
2025-09-21 00:34:26,DLAF190,data/detected_plates\DLAF190_20250921003426.jpg
2025-09-21 00:34:27,DLSAE190,data/detected_plates\DLSAE190_20250921003427.jpg
2025-09-21 00:34:29,DLSAE0190,data/detected_plates\DLSAE0190_20250921003429.jpg
2025-09-21 00:34:33,DLSAE19,data/detected_plates\DLSAE19_20250921003433.jpg
2025-09-21 00:34:34,DLAE19,data/detected_plates\DLAE19_20250921003434.jpg
2025-09-21 00:34:38,DLAE9,data/detected_plates\DLAE9_20250921003438.jpg
2025-09-21 00:34:40,DLAE190,data/detected_plates\DLAE190_20250921003440.jpg
2025-09-21 00:34:44,DLSAE190,data/detected_plates\DLSAE190_20250921003444.jpg
2025-09-21 00:34:47,DL15AF190,data/detected_plates\DL15AF190_20250921003447.jpg
2025-09-21 00:34:47,DLA90,data/detected_plates\DLA90_20250921003447.jpg
2025-09-21 00:34:49,DLAF90,data/detected_plates\DLAF90_20250921003449.jpg
2025-09-21 00:34:50,DLAF190,data/detected_plates\DLAF190_20250921003450.jpg
2025-09-21 00:34:54,DLSAE0190,data/detected_plates\DLSAE0190_20250921003454.jpg
2025-09-21 00:34:57,DLSAE19,data/detected_plates\DLSAE19_20250921003457.jpg
2025-09-21 00:34:59,DLAE19,data/detected_plates\DLAE19_20250921003459.jpg
2025-09-21 00:35:02,DLAE9,data/detected_plates\DLAE9_20250921003502.jpg
2025-09-21 00:35:05,DLAE190,data/detected_plates\DLAE190_20250921003505.jpg
2025-09-21 00:35:08,DLSAE190,data/detected_plates\DLSAE190_20250921003508.jpg
2025-09-21 00:35:11,DL15AF190,data/detected_plates\DL15AF190_20250921003511.jpg
2025-09-21 00:35:12,DL15AE190,data/detected_plates\DL15AE190_20250921003512.jpg
2025-09-21 00:35:14,DL1SAE190,data/detected_plates\DL1SAE190_20250921003514.jpg
2025-09-21 00:35:15,DL1AE0190,data/detected_plates\DL1AE0190_20250921003515.jpg
2025-09-21 00:35:17,DLAE190,data/detected_plates\DLAE190_20250921003517.jpg
2025-09-21 00:36:06,KL09AQ3439,data/detected_plates\KL09AQ3439_20250921003606.jpg
2025-09-21 00:36:18,KL09AQ3439,data/detected_plates\KL09AQ3439_20250921003618.jpg
2025-09-21 00:36:28,KL09AQ3439,data/detected_plates\KL09AQ3439_20250921003628.jpg
2025-09-21 00:36:39,KL09AQ3439,data/detected_plates\KL09AQ3439_20250921003639.jpg
2025-09-21 00:38:17,DLA90,data/detected_plates\DLA90_20250921003817.jpg
2025-09-21 00:38:18,DLAF90,data/detected_plates\DLAF90_20250921003818.jpg
2025-09-21 00:38:20,DLAF190,data/detected_plates\DLAF190_20250921003820.jpg
2025-09-21 00:38:21,DLSAE190,data/detected_plates\DLSAE190_20250921003821.jpg
2025-09-21 00:38:23,DLSAE0190,data/detected_plates\DLSAE0190_20250921003823.jpg
2025-09-21 00:38:27,DLSAE19,data/detected_plates\DLSAE19_20250921003827.jpg
2025-09-21 00:38:28,DLAE19,data/detected_plates\DLAE19_20250921003828.jpg
2025-09-21 00:38:32,DLAE9,data/detected_plates\DLAE9_20250921003832.jpg
